Wavelenght;Intensity
200,000;0,000
200,062;0,000
200,094;0,000
200,156;0,000
200,187;0,000
200,250;0,000
200,312;0,000
200,344;0,000
200,406;0,000
200,437;0,000
200,500;0,000
200,562;0,000
200,594;0,000
200,656;0,000
200,687;0,000
200,750;0,000
200,812;0,000
200,844;0,000
200,906;0,000
200,937;0,000
201,000;0,000
201,062;0,000
201,094;0,000
201,156;0,000
201,187;0,000
201,250;0,000
201,312;0,000
201,344;0,000
201,406;0,000
201,437;0,000
201,500;0,000
201,562;0,000
201,594;0,000
201,656;0,000
201,687;0,000
201,750;0,000
201,812;0,000
201,844;0,000
201,906;0,000
201,937;0,000
202,000;0,000
202,062;0,000
202,094;0,000
202,156;0,000
202,187;0,000
202,250;0,000
202,312;0,000
202,344;0,000
202,406;0,000
202,437;0,000
202,500;0,000
202,562;0,000
202,594;0,000
202,656;0,000
202,687;0,000
202,750;0,000
202,812;0,000
202,844;0,000
202,906;0,000
202,937;0,000
203,000;0,000
203,062;0,000
203,094;0,000
203,156;0,000
203,187;0,000
203,250;0,000
203,312;0,000
203,344;0,000
203,406;0,000
203,437;0,000
203,500;0,000
203,562;0,000
203,594;0,000
203,656;0,000
203,687;0,000
203,750;0,000
203,812;0,000
203,844;0,000
203,906;0,000
203,937;0,000
204,000;0,000
204,062;0,000
204,094;0,000
204,156;0,000
204,187;0,000
204,250;0,000
204,312;0,000
204,344;0,000
204,406;0,000
204,437;0,000
204,500;0,000
204,562;0,000
204,594;0,000
204,656;0,000
204,687;0,000
204,750;0,000
204,812;0,000
204,844;0,000
204,906;0,000
204,937;0,000
205,000;0,000
205,062;0,000
205,094;0,000
205,156;0,000
205,187;0,000
205,250;0,000
205,312;0,000
205,344;0,000
205,406;0,000
205,437;0,000
205,500;0,000
205,562;0,000
205,594;0,000
205,656;0,000
205,687;0,000
205,750;0,000
205,812;0,000
205,844;0,000
205,906;0,000
205,937;0,000
206,000;0,000
206,062;0,000
206,094;0,000
206,156;0,000
206,187;0,000
206,250;0,000
206,312;0,000
206,344;0,000
206,406;0,000
206,437;0,000
206,500;0,000
206,562;0,000
206,594;0,000
206,656;0,000
206,687;0,000
206,750;0,000
206,812;0,000
206,844;0,000
206,906;0,000
206,937;0,000
207,000;0,000
207,062;0,000
207,094;0,000
207,156;0,000
207,187;0,000
207,250;0,000
207,312;0,000
207,344;0,000
207,406;0,000
207,437;0,000
207,500;0,000
207,562;0,000
207,594;0,000
207,656;0,000
207,687;0,000
207,750;0,000
207,812;0,000
207,844;0,000
207,906;0,000
207,937;0,000
208,000;0,000
208,062;0,000
208,094;0,000
208,156;0,000
208,187;0,000
208,250;0,000
208,312;0,000
208,344;0,000
208,406;0,000
208,437;0,000
208,500;0,000
208,562;0,000
208,594;0,000
208,656;0,000
208,687;0,000
208,750;0,000
208,812;0,000
208,844;0,000
208,906;0,000
208,937;0,000
209,000;0,000
209,062;0,000
209,094;0,000
209,156;0,000
209,187;0,000
209,250;0,000
